,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Segmentation
4407,463559,Female,Yes,48,Yes,Engineer,1.0,High,3,2
3171,461306,Male,No,21,No,Doctor,14.0,Low,4,3
4696,466085,Male,No,19,No,Homemaker,9.0,Low,4,4
3587,465768,Female,No,37,Yes,Artist,7.0,Low,4,1
1965,462886,Male,Yes,70,No,Doctor,1.0,High,2,4
3484,462577,Female,Yes,70,No,Marketing,0.0,High,2,4
1388,465848,Female,No,28,Yes,Healthcare,0.0,Low,1,4
1321,464412,Male,Yes,70,No,Lawyer,1.0,Low,2,4
2810,460761,Male,Yes,52,Yes,Entertainment,0.0,Average,6,3
148,467092,Female,No,28,Yes,Healthcare,7.0,Low,4,4
1969,459338,Male,Yes,88,No,Executive,6.0,Low,2,4
2606,459619,Female,Yes,56,Yes,Doctor,0.0,Low,2,4
2632,465207,Male,Yes,49,Yes,Artist,0.0,Average,2,3
1955,464758,Female,Yes,47,No,Engineer,1.0,Average,4,2
3127,465548,Female,No,40,Yes,Artist,0.0,Low,4,1
50,462078,Female,Yes,61,No,Artist,1.0,Average,2,2
3274,463870,Female,No,28,No,Healthcare,1.0,Low,2,1
1801,461729,Female,Yes,41,Yes,Marketing,0.0,Low,3,4
4843,459028,Male,Yes,57,Yes,Executive,1.0,High,3,3
2848,464345,Female,Yes,57,Yes,Artist,2.0,High,3,3
3189,464343,Female,No,51,Yes,Artist,1.0,Low,1,2
4146,464770,Female,No,38,No,Engineer,1.0,Low,1,1
2519,461028,Female,No,21,No,Healthcare,6.0,Low,4,4
5616,459267,Female,No,31,No,Healthcare,4.0,Low,3,1
4762,460089,Female,Yes,65,Yes,Artist,13.0,Low,1,2
5282,459643,Male,Yes,40,Yes,Executive,0.0,High,4,2
2227,463309,Male,Yes,50,Yes,Artist,0.0,Average,2,2
5348,460110,Female,No,52,Yes,Artist,0.0,Low,2,3
6213,461067,Male,No,21,No,Healthcare,1.0,Low,3,4
764,462971,Female,Yes,70,Yes,Engineer,0.0,Low,1,3
6170,462744,Male,Yes,38,Yes,Artist,3.0,Average,4,2
5323,461024,Male,Yes,82,Yes,Lawyer,1.0,Low,1,1
1842,461313,Male,Yes,57,Yes,Artist,1.0,Average,2,3
2768,459297,Male,Yes,72,Yes,Executive,0.0,High,4,3
462,464875,Male,Yes,42,No,Entertainment,1.0,Low,2,2
942,463465,Male,Yes,43,Yes,Artist,6.0,Average,3,2
4334,464410,Male,Yes,40,Yes,Artist,0.0,Average,2,3
