Unnamed: 0,제목,랭킹,저자,출판사,평점,리뷰수,가격
0,혼자 공부하는 파이썬 (1:1 과외하듯 배우는 프로그래밍 자습서),컴퓨터/IT 3위,윤인성,한빛미디어,4.9,10,19800
1,"파이썬과 40개의 작품들 (자동화, 크롤링, 이미지처리, 데이터분석, 웹페이지, GUI 프로그램, 게임)",컴퓨터/IT 19위,장문철,앤써북,5.0,2,16920
2,Do it! 알고리즘 코딩 테스트: 파이썬 편 (코딩 테스트를 처음 준비하는 취준생의 필독서!),컴퓨터/IT 117위,김종관,이지스퍼블리싱,5.0,3,28800
3,파이썬 클린 코드 (유지보수가 쉬운 파이썬 코드를 만드는 비결),컴퓨터/IT 97위,마리아노 아나야,터닝포인트,0.0,0,24800
4,모두의 파이썬 (20일 만에 배우는 프로그래밍 기초),None,이승찬,길벗,5.0,2,10370
5,Do it! 첫 파이썬 (게임하듯배우는나의첫프로그래밍책 | 만화와그림으로’코딩왕초보’탈출!),None,엘리스 코딩,이지스퍼블리싱,5.0,4,12100
6,어쩌다 데이터 분석 with 파이썬 (판다스로 시작하는 효율적인 데이터 분석 및 시각화),컴퓨터/IT 136위,김유지,한빛미디어,0.0,0,25200
7,파이썬 무작정 따라하기 (미래의 프로그래머를 위한),None,"서승희, 송석리",길벗,4.7,3,12600
8,파이썬 마스터 1·2급,None,유성열,명진씨앤피,4.3,4,19800
9,파이썬 399 Step (예제로 정복하는 코딩 챌린지),None,문혜영,icox(아이콕스),0.0,0,19800
10,으뜸 파이썬 (프로그래밍을 사랑하는 두 교수가 작정하고 쓴),None,박동규,생능출판,0.0,0,28800
11,스타트 파이썬 (예제로 시작하는 파이썬 코딩),None,황재호,인포앤북,0.0,0,18900
12,파이썬 정복 (파이썬 개발에 필요한 기본 지식을 모두 담은 파이썬 입문서),None,김상형,한빛미디어,0.0,0,19800
13,클린 파이썬 (효과적인 파이썬 코딩 기법),None,수닐 카필,에이콘출판,0.0,0,19800
14,이것이 취업을 위한 코딩 테스트다 with 파이썬 (취업과 이직을 결정하는 알고리즘 인터뷰 완벽 가이드),컴퓨터/IT 39위,나동빈,한빛미디어,4.9,31,29380
15,파이썬의 정석 (파이썬 본질에 집중하다),None,시바타 보요,루비페이퍼,0.0,0,23400
16,파이썬의 신 (프로그래밍 언어를 배운다는 것),None,김주현,로드북,0.0,0,24300
17,"파이썬을 활용한 금융 분석: 파이썬의 기초부터 금융공학, 머신러닝, 퀀트 분석, 매매 시스템 구현까지 (파이썬의 기초부터 금융공학, 머신러닝, 퀀트 분석, 매매 시스템 구현까지, 2판)",None,이브 힐피시,한빛미디어,0.0,0,40500
18,파이썬 연습,None,김기용,그린,0.0,0,26000
19,누구나 파이썬 (기초부터 시작하는 코딩과 데이터 분석),None,전익진,디스커버리미디어,5.0,2,15750
20,파이썬 기초 실습,None,고응남,인피니티북스,0.0,0,22500
21,달구나 파이썬!,None,"노순국, 이금분 외 1명",연두에디션,0.0,0,18000
22,응용미적분학 with 파이썬,None,"김봉진, 곽태근 외 2명",경문사,0.0,0,23760
23,"파이썬 프로그래밍 (Step by Step 처음 시작하는, 개정판)",None,김민규,가메,0.0,0,19800
24,"머신 러닝 교과서 with 파이썬, 사이킷런, 텐서플로 (머신 러닝, 딥러닝 핵심 알고리즘부터 GAN, 강화 학습까지!)",컴퓨터/IT 144위,세바스찬 라시카,길벗,0.0,0,39600
25,파이썬을 활용한 베이지안 통계 (동전 던지기와 하키 승률로 배우는 데이터 분석),None,앨런 B. 다우니,한빛미디어,0.0,0,28800
26,똑똑한 파이썬 (주니어를 위한 최적의 코딩 학습서),None,황재호,인포앤북,4.8,9,16200
27,라이노 파이썬,None,김성욱,창조와지식,0.0,0,10800
28,"파이썬 스킬 업 (기초를 넘어서, 파이썬을 파이썬답게 사용하자!)",None,"브라이언 오버랜드, 존 베넷",길벗,0.0,0,36000
29,"고성능 파이썬 (파이썬 성능 잠재력을 끌어내는 실용적인 개발 전략서, 2판)",None,"미샤 고렐릭, 이안 오스발트",한빛미디어,0.0,0,32400
30,파이썬 데이터 분석,None,성낙현,생능출판,0.0,0,25200
31,자기주도 파이썬 (정보영재 및 올림피아드를 위한 최적의 입문서),None,한컴에듀케이션 알고리즘연구소,복두출판사,5.0,2,15040
32,"전문가를 위한 파이썬 프로그래밍 (애플리케이션 구축,유지보수,패키징,배포 등 모던 파이썬 개발 마스터하기)",None,"미하우 야보르스키, 타레크 지아데",제이펍,0.0,0,34200
33,파이썬 자료구조,None,김병호,홍릉,0.0,0,14250
34,파이썬 프로그래밍 (기초부터 실전 프로그래밍까지 한 권에 끝내는),None,박영권,시대인,0.0,0,15300
35,파이썬 알고리즘,None,최영규,생능출판,5.0,5,24300
36,바로 쓰는 파이썬,None,박진수,서울대학교출판문화원,0.0,0,24750
37,내손으로 파이썬 (입문자를 위한 파이썬 정복),None,코딩로봇연구소,코딩엑스,0.0,0,12600
38,두근두근 파이썬 (쉽고! 재밌고! 흥미로운 코딩 맛!),None,천인국,생능출판,4.5,15,21600
39,파이썬 고급 딥러닝,None,Ivan Vasilev,홍릉,0.0,0,38610
40,금융 파이썬 쿡북 (금융 데이터 처리와 기술 분석부터 딥러닝 적용까지),None,에릭 르윈슨,에이콘출판,0.0,0,31500
41,핵심만 쏙쏙 파이썬,None,양숙희,연두에디션,5.0,1,18620
42,생활코딩! 파이썬 (가볍게 시작하여 유용하게 사용하는 생활코딩! Python),None,이고잉,범,0.0,0,16200
43,파이썬 프로그래밍,None,김상근,다올미디어,0.0,0,19800
44,파이썬 코딩 도장,None,남재윤,길벗,5.0,3,21600
45,시간순삭 파이썬 (당신의 1분 1초를 아껴줄),None,"천인국, 정영민 외 1명",생능북스,0.0,0,19800
46,Do it! 쉽게 배우는 파이썬 데이터 분석 (데이터 분석 프로젝트 전 과정 수록!),None,김영우,이지스퍼블리싱,4.0,2,20700
47,"모던 파이썬 입문 (프로그래밍, 시작은 파이썬이다!)",None,아나 벨,길벗,0.0,0,23400
48,파이썬3 바이블 (스크립트 언어의 지존을 만나다!),None,이강성,프리렉,0.0,0,37800
49,이젠 나도! 파이썬 (지금 시작해도 괜찮아),None,이지선,성안당,0.0,0,22500
50,파이썬 코딩 0교시 (대세는 국영수코! 교과서보다 먼저 만나는 첫 코딩),None,줄리 스웨이,프리렉,0.0,0,16200
51,파이썬과 함께하는 자료구조의 이해 (개정판),11월 신간도서,양성봉,생능출판,0.0,0,25200
52,혼자 공부하는 파이썬 (파이썬 최신 버전 반영),None,윤인성,한빛미디어,5.0,4,16200
53,컴퓨팅 사고를 위한 파이썬 (인공지능 프로그래밍을 포함한 개정판),None,"서정원, 김태령",생능출판,5.0,1,27000
54,파이썬과 파이게임 (쉽고 재미있게 예제로 배우는!),None,정선호,그린,0.0,0,25200
55,모두를 위한 파이썬 (제3판),None,"Cay Horstmann, Rance Necaise",한티에듀,0.0,0,31500
56,파이썬 프로그래밍 (자료구조와 알고리즘을 함께 배우는),None,김영탁,도서출판 홍릉(홍릉과학출판사),0.0,0,33660
57,파이썬 텍스트 코딩 워크북 (직접 풀어보면서 기르는 코드 리뷰 능력!),None,"서정민, 김성안 외 2명",삼양미디어,0.0,0,4500
58,알고리즘과 파이썬,None,채진석,정익사,0.0,0,27000
59,"파이썬 프로그래밍 (입문부터 실무까지 한 방에 끝내는, 개정판)",None,김용,혜지원,0.0,0,24300
